attendance,study_hours,IAT_marks,assignment,extracurricular_activity,consistency_rating,predicted_grade,confidence_level,predictor
72.01,2.51,70.45,89.33,Club Activity,7,B+,81.66,pass
56.1,8.51,90.63,67.49,Sports,7,A-,81.5,pass
74.76,5.61,50.26,30.17,Volunteering,1,C,50.0,fail
51.72,5.23,62.74,54.2,Drama/Theatre,7,B,86.57,pass
95.47,1.15,73.36,32.87,Student Council,10,B,100.0,pass
62.94,8.6,58.78,76.03,Technical Club,7,A-,83.91,pass
83.13,7.23,59.92,80.71,Entrepreneurship Cell,4,A-,59.47,pass
65.59,0.68,53.12,28.46,Photography Club,7,C,82.47,fail
76.0,7.08,69.5,60.49,Club Activity,8,B+,96.68,pass
77.34,5.44,89.54,85.17,Cultural Activity,3,A-,50.0,pass
59.24,0.82,44.11,94.89,Art & Design,10,B,100.0,pass
98.48,4.58,95.41,61.08,Music/Band,2,B+,50.0,pass
88.76,4.85,78.24,96.02,Music/Band,7,A-,87.37,pass
96.97,1.66,87.63,62.86,Sports,5,B+,64.58,pass
94.74,9.46,68.93,51.54,Cultural Activity,5,A-,65.69,pass
79.89,8.5,84.57,87.86,Club Activity,5,A,66.93,pass
96.09,6.69,31.13,59.44,Drama/Theatre,7,B+,85.92,pass
54.42,4.62,87.29,57.75,Technical Club,9,B+,100.0,pass
59.8,4.12,32.81,59.22,Art & Design,8,B,93.57,pass
52.26,6.51,92.29,87.74,Entrepreneurship Cell,6,A-,73.0,pass
66.27,5.45,99.44,86.56,Photography Club,7,A-,82.14,pass
69.43,0.62,50.58,52.28,Student Council,9,C,100.0,fail
63.57,5.13,44.72,46.66,NSS,6,B,70.43,pass
91.44,8.06,83.58,59.35,NSS,1,A-,50.0,pass
67.84,4.59,47.71,65.82,Art & Design,4,B,56.78,pass
64.05,0.52,90.59,39.07,Club Activity,8,B,96.61,pass
77.13,7.86,37.2,83.52,Art & Design,7,B+,86.15,pass
57.05,2.01,38.82,58.92,Cultural Activity,3,C,50.0,fail
90.11,2.59,98.54,46.72,Photography Club,10,B+,100.0,pass
53.73,1.65,77.17,28.55,NSS,3,C,50.0,fail
99.34,3.3,89.28,39.11,Sports,3,B+,50.0,pass
88.61,7.57,52.7,95.94,Cultural Activity,1,A-,50.0,pass
59.94,5.19,77.35,44.41,NSS,10,B+,100.0,pass
50.28,2.05,71.6,33.51,Drama/Theatre,1,C,50.0,fail
90.77,8.78,72.22,56.85,Photography Club,6,A-,75.64,pass
85.34,8.8,77.78,44.57,Entrepreneurship Cell,1,B+,50.0,pass
86.45,8.71,70.28,22.81,Technical Club,5,B+,61.38,pass
88.56,2.39,60.03,45.85,Music/Band,4,B,55.91,pass
53.7,4.51,49.31,63.53,Cultural Activity,5,B,63.15,pass
67.92,9.85,83.8,64.14,Music/Band,7,A-,80.52,pass
55.79,7.72,45.84,48.52,Music/Band,6,B,79.49,pass
93.16,0.27,78.46,55.78,Photography Club,9,B+,100.0,pass
81.16,0.65,46.33,97.24,Photography Club,6,B,78.77,pass
66.54,4.64,73.77,50.19,NSS,9,B+,100.0,pass
53.18,9.09,82.3,40.66,Cultural Activity,4,B+,53.57,pass
65.55,5.39,45.31,39.48,Technical Club,1,C,50.0,fail
66.26,4.98,34.2,56.62,Drama/Theatre,1,C,50.0,fail
86.48,1.05,39.17,80.76,Volunteering,10,B,100.0,pass
81.88,6.57,72.42,36.48,Sports,7,B+,82.54,pass
94.36,8.22,89.46,76.74,Music/Band,3,A-,50.0,pass
73.61,3.8,33.15,21.69,Technical Club,2,C,50.0,fail
55.98,7.76,81.39,53.51,Photography Club,6,B+,76.7,pass
85.66,9.64,53.89,82.07,Student Council,6,A-,79.31,pass
88.04,2.04,63.5,47.1,Student Council,7,B,83.98,pass
78.06,5.23,95.02,65.1,Volunteering,5,A-,69.53,pass
88.55,2.87,53.24,36.4,Volunteering,8,B,97.03,pass
74.69,7.93,62.57,79.36,Volunteering,7,A-,80.42,pass
76.14,5.78,30.96,24.18,Entrepreneurship Cell,2,C,50.0,fail
71.38,6.35,35.71,88.2,Sports,1,B,50.0,pass
51.27,7.98,48.1,35.86,Sports,9,B,100.0,pass
55.39,3.96,31.95,89.95,Drama/Theatre,5,B,65.66,pass
51.57,9.15,74.2,48.2,Music/Band,5,B+,61.49,pass
81.82,5.33,59.85,77.81,Club Activity,10,A-,100.0,pass
65.72,1.58,68.37,45.54,Entrepreneurship Cell,4,C,58.31,fail
75.43,6.96,42.23,92.47,Student Council,2,B+,50.0,pass
95.38,7.93,50.72,30.13,NSS,5,B+,62.73,pass
62.46,3.17,76.47,34.28,NSS,2,C,50.0,fail
70.52,8.57,97.57,59.44,Volunteering,7,A-,84.16,pass
87.78,9.06,33.53,26.56,Art & Design,9,B,100.0,pass
61.44,2.77,92.33,35.68,Student Council,9,B,100.0,pass
53.85,9.84,70.38,95.5,Club Activity,6,A-,79.45,pass
64.49,1.41,69.47,98.12,Entrepreneurship Cell,1,B,50.0,pass
58.06,2.02,65.02,50.1,Club Activity,6,B,72.55,pass
96.48,1.84,34.86,93.86,NSS,5,B+,69.24,pass
90.41,8.94,36.29,63.59,Art & Design,4,B+,57.75,pass
81.67,6.54,72.06,41.58,Club Activity,6,B+,75.74,pass
93.57,1.52,53.87,76.19,Student Council,6,B+,76.96,pass
90.18,4.4,94.21,72.71,Music/Band,6,A-,79.24,pass
59.33,6.15,58.46,99.13,Technical Club,2,B+,50.0,pass
94.63,0.83,40.03,41.2,Art & Design,7,C,83.68,fail
76.97,8.82,80.03,73.76,Club Activity,4,A-,57.13,pass
90.37,8.04,50.53,24.16,Photography Club,9,B+,100.0,pass
94.8,5.05,66.78,29.09,Art & Design,10,B+,100.0,pass
65.9,9.67,78.85,20.31,Art & Design,2,B,50.0,pass
55.5,4.18,93.02,99.96,Music/Band,5,A-,61.67,pass
61.4,9.84,85.45,84.18,Student Council,4,A-,50.23,pass
71.36,6.68,77.35,82.94,Entrepreneurship Cell,9,A-,100.0,pass
90.9,6.35,77.57,60.78,NSS,4,B+,56.55,pass
93.04,1.66,96.21,44.01,Photography Club,8,B+,98.02,pass
50.35,8.82,50.71,32.1,Music/Band,8,B,99.88,pass
75.54,4.27,30.08,42.77,Club Activity,6,C,73.46,fail
70.87,1.62,49.04,50.08,Volunteering,6,C,75.99,fail
61.11,0.13,45.25,80.5,Music/Band,8,B,99.37,pass
55.99,5.6,76.33,63.17,Volunteering,10,B+,100.0,pass
66.88,5.27,74.36,26.2,Cultural Activity,9,B,100.0,pass
97.15,7.19,71.54,21.44,NSS,5,B+,67.55,pass
66.16,8.9,31.14,28.19,Student Council,1,C,50.0,fail
75.94,0.79,81.01,52.84,Technical Club,1,B,50.0,pass
85.15,7.31,52.65,94.66,Art & Design,2,A-,50.0,pass
68.18,1.87,76.55,70.99,Volunteering,10,B+,100.0,pass
98.59,8.58,68.96,84.15,Technical Club,10,A,100.0,pass
98.12,8.19,53.99,57.31,Technical Club,5,B+,60.49,pass
62.59,5.41,39.42,48.93,Volunteering,4,C,53.35,fail
74.86,7.1,36.61,28.67,Technical Club,1,C,50.0,fail
65.04,3.14,88.21,90.07,Art & Design,4,B+,55.32,pass
64.24,4.71,94.29,82.65,Entrepreneurship Cell,4,A-,52.68,pass
51.84,8.22,75.49,33.45,Drama/Theatre,10,B+,100.0,pass
80.48,4.59,37.24,60.98,Cultural Activity,4,B,53.68,pass
75.13,3.58,58.14,58.99,Volunteering,1,B,50.0,pass
52.57,4.94,81.03,70.01,Art & Design,9,B+,100.0,pass
63.93,8.28,84.59,95.69,Photography Club,3,A-,50.0,pass
95.41,3.35,38.28,66.38,NSS,4,B,54.08,pass
61.98,1.74,30.0,63.22,Volunteering,5,C,62.74,fail
57.24,7.12,79.85,24.03,Entrepreneurship Cell,7,B,81.31,pass
74.47,8.26,54.96,25.03,Art & Design,6,B,78.19,pass
99.28,1.01,47.81,34.99,Art & Design,5,C,69.96,fail
62.1,2.4,30.9,22.6,Photography Club,8,C,93.3,fail
83.61,1.42,67.82,79.47,Music/Band,1,B,50.0,pass
88.08,3.48,89.58,77.87,Drama/Theatre,7,A-,86.18,pass
61.88,4.5,97.03,30.88,Entrepreneurship Cell,6,B,77.18,pass
86.41,7.49,69.6,86.89,Volunteering,5,A-,63.92,pass
68.39,6.51,66.01,32.38,Photography Club,7,B,89.05,pass
81.62,6.21,35.95,44.09,Student Council,3,B,50.0,pass
81.68,3.52,68.42,39.92,Art & Design,1,B,50.0,pass
76.79,8.41,56.6,49.78,Cultural Activity,9,B+,100.0,pass
54.51,4.71,72.5,40.37,Music/Band,2,B,50.0,pass
91.77,9.79,57.21,59.12,Art & Design,10,A-,100.0,pass
66.04,6.34,46.82,52.59,Volunteering,3,B,50.0,pass
59.33,1.26,36.65,98.93,Club Activity,8,B,93.32,pass
52.04,6.76,52.04,24.47,Art & Design,10,B,100.0,pass
79.54,3.25,36.77,31.37,Sports,9,C,100.0,fail
83.88,6.86,42.38,24.23,Club Activity,3,B,50.0,pass
50.83,0.7,99.11,70.07,Art & Design,6,B,78.26,pass
75.6,1.75,61.09,24.36,Technical Club,7,C,87.31,fail
61.32,8.56,67.23,86.92,Entrepreneurship Cell,1,B+,50.0,pass
82.26,2.27,91.15,60.96,Art & Design,7,B+,82.73,pass
58.72,8.37,99.69,62.16,NSS,4,A-,58.75,pass
84.55,2.79,70.79,64.93,Technical Club,5,B+,67.67,pass
69.34,6.43,86.87,33.67,Volunteering,8,B+,93.62,pass
96.84,6.94,52.89,35.82,Cultural Activity,4,B,57.34,pass
56.88,5.13,51.4,45.51,Club Activity,4,C,51.04,fail
67.05,3.05,58.19,67.48,Student Council,8,B,97.89,pass
55.67,2.13,77.08,36.81,Music/Band,5,C,65.32,fail
96.23,0.33,77.75,29.31,Photography Club,6,B,72.92,pass
93.87,3.04,52.07,97.61,Cultural Activity,5,B+,66.56,pass
62.9,6.53,39.32,21.76,Technical Club,1,C,50.0,fail
83.0,9.38,74.27,84.22,Music/Band,7,A,82.09,pass
90.86,8.71,38.98,83.04,Club Activity,6,A-,70.3,pass
77.76,7.66,70.49,43.78,Student Council,2,B+,50.0,pass
76.48,7.88,78.54,30.85,Sports,7,B+,85.7,pass
62.09,6.65,79.04,31.65,Sports,6,B,78.77,pass
54.66,2.6,82.74,75.79,Entrepreneurship Cell,5,B+,69.28,pass
94.86,9.07,91.1,71.42,Student Council,8,A,95.29,pass
95.02,6.71,65.0,82.62,Music/Band,5,A-,67.54,pass
81.66,5.6,81.12,95.0,Volunteering,2,A-,50.0,pass
66.95,1.11,73.34,75.35,Music/Band,6,B,77.46,pass
67.46,4.47,43.06,32.47,Entrepreneurship Cell,1,C,50.0,fail
86.3,4.6,31.8,39.48,Art & Design,5,C,63.71,fail
94.86,8.65,49.92,87.38,Music/Band,6,A-,76.34,pass
94.35,5.47,61.01,36.74,Volunteering,7,B+,80.18,pass
88.99,3.8,73.2,25.8,Cultural Activity,2,B,50.0,pass
82.1,9.77,89.5,76.26,Club Activity,1,A-,50.0,pass
54.21,1.11,43.74,52.2,Music/Band,6,C,73.99,fail
58.08,4.23,38.79,93.6,Photography Club,3,B,50.0,pass
94.93,0.42,97.44,72.02,Club Activity,5,B+,68.51,pass
80.32,7.4,37.56,27.23,Technical Club,2,C,50.0,fail
50.46,9.18,63.49,95.83,Sports,1,B+,50.0,pass
55.07,2.8,70.99,40.68,Sports,1,C,50.0,fail
83.18,8.58,67.9,46.98,Volunteering,4,B+,56.79,pass
50.25,2.92,36.02,52.18,Technical Club,10,C,100.0,fail
58.04,9.11,33.99,24.1,Sports,2,C,50.0,fail
77.44,7.54,37.38,59.72,Entrepreneurship Cell,1,B,50.0,pass
84.59,8.05,70.99,29.87,Volunteering,6,B+,79.0,pass
82.6,0.18,68.1,52.08,Music/Band,4,B,56.88,pass
61.21,9.63,46.36,48.06,Technical Club,10,B+,100.0,pass
85.61,7.27,74.64,81.83,Entrepreneurship Cell,7,A-,87.67,pass
61.86,3.05,87.4,84.25,Art & Design,6,B+,79.42,pass
66.27,8.29,32.91,32.27,Art & Design,5,B,62.16,pass
87.32,2.82,64.87,49.32,Art & Design,10,B+,100.0,pass
82.48,8.73,78.25,49.87,Cultural Activity,2,B+,50.0,pass
92.46,1.13,47.66,32.11,Art & Design,5,C,66.71,fail
82.88,7.04,51.54,83.88,Technical Club,9,A-,100.0,pass
78.42,5.41,72.95,76.58,NSS,9,A-,100.0,pass
54.68,0.97,92.86,35.23,Sports,2,C,50.0,fail
68.39,2.42,86.69,49.34,Art & Design,7,B,88.54,pass
63.26,0.12,70.82,28.46,Technical Club,10,C,100.0,fail
62.2,4.69,81.12,70.26,Entrepreneurship Cell,4,B+,56.1,pass
98.65,3.01,55.54,29.71,Drama/Theatre,3,B,50.0,pass
69.65,5.98,74.87,98.87,Entrepreneurship Cell,1,A-,50.0,pass
94.6,2.97,62.63,82.45,Music/Band,3,B+,50.0,pass
81.56,3.0,43.3,51.22,Entrepreneurship Cell,9,B,100.0,pass
89.74,7.43,79.12,66.29,Cultural Activity,9,A-,100.0,pass
75.13,0.48,68.95,92.91,Club Activity,7,B+,81.8,pass
78.85,9.03,55.1,64.33,Volunteering,3,B+,50.0,pass
74.63,8.52,93.79,33.96,Drama/Theatre,3,B+,50.0,pass
59.76,6.68,31.47,50.3,Entrepreneurship Cell,4,C,52.52,fail
86.12,5.93,52.1,87.45,Drama/Theatre,7,A-,83.25,pass
64.04,8.92,33.98,71.54,Cultural Activity,7,B+,88.35,pass
51.22,1.85,83.66,72.06,Volunteering,2,B,50.0,pass
82.27,0.79,79.15,89.35,Cultural Activity,5,B+,63.29,pass
58.86,2.4,53.19,91.52,Art & Design,7,B,85.34,pass
97.02,7.95,77.3,93.58,Club Activity,7,A,80.62,pass
97.7,0.35,57.72,27.59,Volunteering,6,C,72.09,fail
95.74,5.83,82.94,63.53,Technical Club,10,A-,100.0,pass
68.51,9.95,61.79,79.24,Entrepreneurship Cell,10,A-,100.0,pass
50.77,8.56,58.86,80.55,Entrepreneurship Cell,8,A-,98.43,pass
96.42,5.21,95.43,68.54,Sports,3,A-,50.0,pass
71.41,0.64,47.56,33.34,Cultural Activity,1,C,50.0,fail
98.33,8.31,38.43,83.79,Club Activity,3,B+,50.0,pass
98.18,5.99,70.92,77.61,Music/Band,2,A-,50.0,pass
92.65,1.15,97.85,26.89,NSS,2,B,50.0,pass
64.72,0.94,56.45,57.1,Music/Band,2,C,50.0,fail
69.25,9.1,34.34,33.92,NSS,5,B,69.77,pass
92.56,6.69,53.75,47.0,Student Council,1,B,50.0,pass
65.85,8.29,65.42,21.45,Technical Club,10,B+,100.0,pass
58.47,8.79,41.33,52.03,Student Council,4,B,57.24,pass
77.84,5.72,76.07,63.99,Cultural Activity,10,A-,100.0,pass
96.81,5.17,99.84,69.57,Cultural Activity,5,A-,67.96,pass
84.8,4.3,61.62,73.08,Entrepreneurship Cell,2,B+,50.0,pass
78.5,3.17,54.83,86.9,NSS,5,B+,66.71,pass
54.86,4.35,58.05,37.24,Volunteering,10,B,100.0,pass
80.75,7.74,38.06,29.64,Photography Club,4,B,50.91,pass
99.5,6.02,91.83,88.12,Club Activity,8,A,96.67,pass
57.0,8.93,59.04,32.53,Art & Design,1,B,50.0,pass
75.92,4.43,57.11,97.98,Drama/Theatre,5,B+,66.4,pass
93.87,6.07,76.18,87.4,Cultural Activity,10,A,100.0,pass
87.04,6.31,60.94,60.07,Student Council,1,B+,50.0,pass
84.85,5.92,75.38,98.51,Student Council,10,A,100.0,pass
85.12,7.03,34.3,27.79,Photography Club,10,B,100.0,pass
67.97,2.37,86.96,44.25,Music/Band,4,B,51.28,pass
64.68,5.12,95.84,71.06,Technical Club,8,A-,92.65,pass
90.47,1.04,75.41,48.0,NSS,1,B,50.0,pass
90.51,3.85,96.82,94.27,Drama/Theatre,2,A-,50.0,pass
93.35,4.88,40.6,25.25,NSS,1,C,50.0,fail
95.66,6.52,63.42,63.95,Cultural Activity,7,A-,89.41,pass
75.57,9.51,72.13,67.27,Entrepreneurship Cell,2,A-,50.0,pass
75.08,6.01,70.72,72.22,Sports,1,B+,50.0,pass
89.91,7.44,58.1,40.45,Drama/Theatre,6,B+,76.06,pass
82.5,5.06,53.67,49.17,Music/Band,6,B,77.55,pass
85.1,6.34,38.88,87.49,Student Council,10,A-,100.0,pass
89.79,0.71,57.42,35.6,Music/Band,2,C,50.0,fail
94.5,2.54,41.39,86.15,Entrepreneurship Cell,1,B,50.0,pass
66.9,3.62,81.41,65.01,Cultural Activity,10,B+,100.0,pass
68.78,4.72,44.62,80.98,Sports,3,B,50.0,pass
54.7,0.46,34.1,77.09,Art & Design,10,C,100.0,fail
78.91,1.4,68.67,36.6,Drama/Theatre,5,C,61.42,fail
51.8,2.77,71.67,65.51,Photography Club,6,B,77.1,pass
73.28,9.72,91.03,89.42,NSS,3,A,50.0,pass
77.13,3.31,70.39,54.57,Drama/Theatre,9,B+,100.0,pass
64.33,4.82,54.18,97.33,Student Council,5,B+,68.37,pass
79.54,1.96,86.21,56.18,NSS,2,B,50.0,pass
51.53,6.11,67.82,31.42,Art & Design,10,B,100.0,pass
51.87,2.81,35.55,51.15,Photography Club,6,C,76.68,fail
91.13,2.07,69.61,96.14,Art & Design,8,A-,94.29,pass
68.01,5.17,93.56,45.58,Photography Club,6,B+,74.41,pass
56.35,0.06,57.74,89.45,Technical Club,4,B,50.66,pass
76.11,0.08,50.74,90.5,NSS,6,B,74.01,pass
88.5,2.19,40.04,48.01,Club Activity,8,B,97.65,pass
60.79,0.37,40.6,26.66,Sports,8,C,99.15,fail
81.14,1.08,60.29,77.96,Club Activity,10,B+,100.0,pass
54.27,3.39,71.7,44.92,Art & Design,2,C,50.0,fail
52.58,8.03,35.64,82.63,NSS,8,B+,97.03,pass
76.57,5.72,95.77,55.41,Technical Club,6,A-,79.43,pass
77.03,5.13,82.86,58.82,Drama/Theatre,2,B+,50.0,pass
81.87,2.93,71.06,82.23,Drama/Theatre,1,B+,50.0,pass
86.3,9.32,87.99,50.59,Drama/Theatre,6,A-,77.96,pass
98.79,3.97,35.61,55.45,Entrepreneurship Cell,7,B,86.1,pass
75.82,0.87,63.38,50.1,Technical Club,10,B,100.0,pass
66.15,6.17,74.11,49.39,Entrepreneurship Cell,5,B+,66.28,pass
89.76,1.14,88.01,62.08,Cultural Activity,10,B+,100.0,pass
63.54,3.45,84.84,84.7,NSS,8,B+,95.1,pass
71.95,5.07,49.39,48.94,Club Activity,9,B,100.0,pass
53.92,8.74,95.86,61.94,Sports,4,A-,58.76,pass
51.27,4.94,38.7,73.66,Art & Design,7,B,84.62,pass
98.13,7.02,91.26,41.56,Sports,8,A-,92.79,pass
91.8,9.93,97.97,42.2,Art & Design,6,A-,72.31,pass
84.8,1.31,42.4,94.67,NSS,2,B,50.0,pass
70.45,2.75,80.54,77.88,NSS,7,B+,81.71,pass
58.66,3.95,32.82,66.17,Music/Band,9,B,100.0,pass
57.82,4.22,58.38,71.82,Club Activity,5,B,61.87,pass
62.51,4.11,66.14,22.34,Student Council,2,C,50.0,fail
77.46,9.08,70.65,69.45,Art & Design,4,A-,54.74,pass
85.73,7.14,95.52,60.76,Volunteering,3,A-,50.0,pass
83.01,6.08,77.06,63.66,Student Council,4,B+,53.61,pass
64.0,3.09,63.69,48.75,Drama/Theatre,10,B,100.0,pass
97.74,8.24,86.68,26.52,Sports,7,A-,85.54,pass
86.89,9.55,96.54,35.47,Photography Club,10,A-,100.0,pass
77.72,8.21,31.54,96.06,Photography Club,8,A-,98.97,pass
80.59,0.02,98.78,52.7,NSS,1,B,50.0,pass
70.98,6.36,36.03,57.33,Volunteering,8,B,93.29,pass
62.39,0.51,87.01,24.22,Art & Design,5,C,69.52,fail
67.8,2.58,49.62,23.01,Cultural Activity,7,C,80.25,fail
87.89,0.6,39.25,77.37,Art & Design,1,C,50.0,fail
50.72,6.04,60.79,63.05,Photography Club,2,B,50.0,pass
55.8,6.87,75.08,60.7,Sports,1,B,50.0,pass
52.3,1.14,56.67,39.45,Art & Design,5,C,62.73,fail
52.04,3.84,33.82,79.58,Art & Design,6,B,73.03,pass
92.77,4.56,71.96,33.46,Technical Club,10,B+,100.0,pass
85.18,3.69,93.17,35.19,Club Activity,9,B+,100.0,pass
73.71,1.21,56.83,56.86,Student Council,8,B,97.27,pass
54.89,4.19,45.14,42.9,Cultural Activity,7,C,88.95,fail
74.58,7.51,60.98,39.8,NSS,5,B+,66.74,pass
73.67,0.71,33.39,71.62,Art & Design,3,C,50.0,fail
58.66,0.8,87.43,72.08,Cultural Activity,9,B+,100.0,pass
71.69,3.55,87.84,85.96,Music/Band,5,B+,62.64,pass
69.93,9.42,71.16,53.42,Art & Design,3,B+,50.0,pass
80.79,6.69,54.72,25.85,Entrepreneurship Cell,3,B,50.0,pass
81.75,6.79,85.98,41.89,Entrepreneurship Cell,3,B+,50.0,pass
52.27,3.62,68.83,98.4,Technical Club,6,B+,71.14,pass
68.73,5.94,87.82,67.7,Entrepreneurship Cell,1,B+,50.0,pass
81.29,0.1,74.2,76.78,Technical Club,4,B,53.0,pass
75.16,6.36,84.91,20.59,Volunteering,8,B+,92.82,pass
92.82,9.13,71.9,61.46,Drama/Theatre,3,A-,50.0,pass
82.93,6.13,58.99,23.0,Sports,5,B,68.17,pass
58.15,8.74,97.06,65.54,Student Council,2,A-,50.0,pass
53.53,7.24,67.88,93.66,Music/Band,2,B+,50.0,pass
82.12,1.21,72.36,97.47,Sports,7,B+,82.45,pass
51.33,9.02,45.43,63.24,Entrepreneurship Cell,10,B+,100.0,pass
79.29,0.66,73.8,56.66,Sports,3,B,50.0,pass
97.01,5.34,70.01,95.6,Volunteering,5,A-,68.8,pass
78.77,1.42,42.94,73.89,Technical Club,3,B,50.0,pass
69.41,0.12,34.17,25.19,Club Activity,6,C,79.47,fail
82.16,4.22,72.31,57.26,Cultural Activity,10,B+,100.0,pass
72.91,2.95,83.46,39.22,NSS,3,B,50.0,pass
77.28,4.86,66.64,57.58,Club Activity,8,B+,97.07,pass
97.07,5.77,45.87,56.44,Club Activity,2,B,50.0,pass
69.31,0.44,76.66,66.57,Drama/Theatre,3,B,50.0,pass
98.06,1.23,35.61,48.54,Drama/Theatre,8,B,95.54,pass
95.27,5.59,60.93,33.14,Club Activity,8,B+,97.31,pass
59.79,3.43,41.44,60.3,Technical Club,1,C,50.0,fail
53.47,7.29,42.91,86.42,Sports,8,B+,90.11,pass
55.04,6.52,44.16,73.12,Cultural Activity,10,B+,100.0,pass
50.91,8.46,57.07,47.07,Sports,2,B,50.0,pass
54.72,6.92,33.58,94.84,Sports,7,B+,86.64,pass
84.15,4.3,57.85,92.98,Sports,6,B+,72.14,pass
53.56,6.73,65.82,36.75,Cultural Activity,2,B,50.0,pass
65.95,2.75,63.83,23.15,Cultural Activity,5,C,61.98,fail
92.24,3.06,56.79,79.3,Volunteering,7,B+,85.48,pass
51.16,7.89,88.74,86.21,Student Council,8,A-,91.16,pass
90.72,4.46,40.17,97.43,Photography Club,3,B+,50.0,pass
64.09,7.98,65.4,91.19,Photography Club,1,B+,50.0,pass
55.91,8.22,34.34,68.04,Photography Club,7,B+,89.54,pass
84.84,8.58,34.98,62.4,Club Activity,5,B+,61.42,pass
81.45,9.17,70.17,22.23,Art & Design,5,B+,67.08,pass
93.87,4.31,69.62,39.73,Volunteering,7,B+,80.68,pass
86.75,3.19,91.46,56.77,Volunteering,1,B+,50.0,pass
90.17,5.82,69.05,70.28,NSS,8,A-,95.09,pass
64.1,3.71,97.19,64.58,Art & Design,10,A-,100.0,pass
58.87,6.01,33.41,79.41,Drama/Theatre,5,B,69.52,pass
87.53,7.06,36.86,42.38,NSS,8,B,99.45,pass
90.34,6.88,33.08,65.2,Drama/Theatre,10,B+,100.0,pass
99.53,3.75,42.97,27.05,Student Council,10,B,100.0,pass
70.63,1.67,67.89,53.09,Music/Band,5,B,64.55,pass
68.6,4.31,75.19,80.01,Drama/Theatre,7,B+,83.56,pass
88.82,1.43,33.19,75.47,Sports,10,B,100.0,pass
67.04,8.9,96.22,99.25,Drama/Theatre,3,A,50.0,pass
96.54,3.46,88.95,42.23,Entrepreneurship Cell,2,B+,50.0,pass
92.92,1.54,50.76,59.86,Art & Design,6,B,72.32,pass
71.45,0.25,35.4,46.36,Photography Club,5,C,60.47,fail
87.54,6.46,41.89,55.25,Photography Club,9,B+,100.0,pass
87.73,6.37,38.89,88.56,Cultural Activity,10,A-,100.0,pass
55.16,3.41,38.63,74.74,Art & Design,4,B,54.43,pass
95.13,0.72,66.3,90.6,Student Council,3,B+,50.0,pass
75.26,4.1,47.21,36.28,Photography Club,9,B,100.0,pass
91.32,3.11,55.07,89.87,Volunteering,8,B+,90.28,pass
66.0,6.77,99.27,24.78,Sports,6,B+,78.34,pass
94.78,6.06,77.9,91.09,Music/Band,1,A-,50.0,pass
69.46,3.65,96.43,46.33,Student Council,10,B+,100.0,pass
50.54,2.18,39.98,45.17,Volunteering,1,C,50.0,fail
